code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl;;
2039;Autremencourt;2;502;306;4179;2353;9;;
2040;Autreppes;2;549;309;3896;2257;9;;
2041;Autreville;2;463;303;3222;2028;9;;
2042;Azy-sur-Marne;2;366;302;2830;1895;9;;
2043;Bagneux;2;386;304;2997;1952;9;;
2044;Bancigny;2;524;314;2978;1945;9;;
2046;Barenton-Bugny;2;456;303;3130;1997;9;;
2047;Barenton-Cel;2;464;303;3279;2047;9;;
2048;Barenton-sur-Serre;2;475;303;3755;2209;9;;
2049;Barisis-aux-Bois;2;433;303;3342;2069;9;;
2050;Barzy-en-Thiérache;2;592;312;3236;2033;9;;
2051;Barzy-sur-Marne;2;342;305;3712;2195;9;;
2052;Bassoles-Aulers;2;414;314;3164;2008;9;;
2053;Vallées en Champagne;2;361;305;3465;2111;9;;
2054;Bazoches-sur-Vesles;2;366;302;3517;2128;9;;
2055;Beaumé;2;524;317;3512;2126;9;;
2056;Beaumont-en-Beine;2;465;304;3724;2199;9;;
2057;Beaurevoir;2;613;309;5078;2658;9;;
2058;Beaurieux;2;398;303;3693;2188;9;;
2059;Beautor;2;474;302;3285;2050;9;;
2060;Beauvois-en-Vermandois;2;513;303;4218;2367;9;;
2061;Becquigny;2;621;310;3903;2259;9;;
2062;Belleau;2;335;307;3317;2061;9;;
2063;Bellenglise;2;559;305;4850;2581;9;;
2064;Belleu;2;362;303;4020;2299;9;;
2065;Bellicourt;2;572;308;5186;2695;9;;
2066;Benay;2;485;307;4248;2377;9;;
2067;Bergues-sur-Sambre;2;593;311;3116;1992;9;;
2068;Berlancourt;2;520;310;4638;2509;9;;
2069;Berlise;2;523;310;3831;2235;9;;
2070;Bernot;2;563;305;3675;2182;9;;
2071;Berny-Rivière;2;374;302;2839;1898;9;;
2072;Berrieux;2;432;306;3344;2070;9;;
2073;Berry-au-Bac;2;442;302;3487;2118;9;;
2074;Bertaucourt-Epourdon;2;439;305;3552;2140;9;;
2075;Berthenicourt;2;521;307;4144;2341;9;;
2076;Bertricourt;2;452;302;3231;2031;9;;
2077;Berzy-le-Sec;2;355;309;3499;2122;9;;
2078;Besmé;2;435;303;2837;1897;9;;
2079;Besmont;2;523;314;3426;2097;9;;
2080;Besny-et-Loizy;2;442;305;3299;2054;9;;
2081;Béthancourt-en-Vaux;2;446;306;3558;2142;9;;
2082;Beugneux;2;339;310;3776;2216;9;;
2083;Beuvardes;2;327;303;3465;2111;9;;
2084;Bézu-le-Guéry;2;345;310;3222;2028;9;;
2085;Bézu-Saint-Germain;2;326;307;3217;2026;9;;
2086;Bichancourt;2;458;302;3153;2005;9;;
2087;Bieuxy;2;384;307;3012;1957;9;;
2088;Bièvres;2;405;307;3140;2000;9;;
2089;Billy-sur-Aisne;2;361;303;3597;2156;9;;
2090;Billy-sur-Ourcq;2;354;311;3450;2106;9;;
2091;Blanzy-lès-Fismes;2;348;310;3236;2033;9;;
2093;Blérancourt;2;428;303;2612;1821;9;;
2094;Blesmes;2;347;305;2769;1874;9;;
2095;Bohain-en-Vermandois;2;611;309;4039;2306;9;;
2096;Bois-lès-Pargny;2;502;303;4404;2430;9;;
2097;Boncourt;2;534;305;3976;2284;9;;
